name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,,,
The Residence,229 Victoria Park Road,,,Hackney,http://www.residence-gallery.com/#,1.00E+11,E09000012,Victoria,E05009386,51.53781866,-0.042557202,535851.7779,183917.3051,,,
Morley College Gallery,61 Westminster Bridge Road,,,Southwark,https://www.morleycollege.ac.uk/facilities/the-gallery#,1.00E+11,E09000028,St George's,E05011114,51.49736611,-0.108367728,531404.3406,179298.7888,,,
Gasworks Gallery,155 Vauxhall Street,,,Lambeth,http://www.gasworks.org.uk/#,1.00E+11,E09000022,Kennington,E05014105,51.48462055,-0.113850591,531060.301,177871.6512,,,
Foss Fine Art,113b Northcote Road,,,Wandsworth,http://fossfineart.com/#,1.00E+11,E09000032,Northcote,E05014016,51.45655973,-0.163651714,527680.865,174663.3393,,,
Northcote Gallery Battersea,110 Northcote Road,,,Wandsworth,http://www.northcotegallery.com/#,1.00E+11,E09000032,Northcote,E05014016,51.45636157,-0.164206711,527642.8608,174640.3375,,,
Kristin Hjellegjerde,533 Old York Road,,,Wandsworth,http://kristinhjellegjerde.com/#,1.00E+11,E09000032,Wandsworth Town,E05014028,51.45930095,-0.187224359,526035.7043,174927.3887,,,
The Osborne Studio Gallery,2 Motcomb Street,,,Westminster,http://www.osg.uk.com/#,1.00E+11,E09000033,Knightsbridge & Belgravia,E05013797,51.49869392,-0.155013173,528162.9849,179363.814,,,
Alan Cristea Gallery,43 Pall Mall,,,Westminster,http://www.alancristea.com/#,1.00E+11,E09000033,St James's,E05013806,51.50557485,-0.134602456,529560.1309,180164.8817,,,
Paisnel Gallery,9 Bury Street,,,Westminster,http://www.paisnelgallery.co.uk/#,1.00E+11,E09000033,St James's,E05013806,51.5062448,-0.136578309,529421.1149,180235.8884,,,
Sladmore,57 Jermyn Street,,,Westminster,http://www.sladmore.com/#,1.00E+11,E09000033,St James's,E05013806,51.50724689,-0.13794979,529323.1031,180344.8998,,,
Chris Beetles,8 & 10 Ryder Street,,,Westminster,http://www.chrisbeetles.com/#,1.00E+11,E09000033,St James's,E05013806,51.50661513,-0.136678491,529413.1137,180276.8925,,,
Photofusion Gallery,17A Electric Ln,Brixton,,Lambeth,http://www.photofusion.org/photography-exhibitions/#,1.00E+11,E09000022,Brixton Windrush,E05014098,51.46135658,-0.11233368,531232.2726,175287.3893,,,
Two Temple Place,2 Temple Place,,,City of London,http://www.twotempleplace.org/#,1.00E+11,E09000001,Farringdon Without,E05009305,51.51109098,-0.11063857,531207.3061,180820.9318,,,
Atlas Gallery,49 Dorset Street,,,Westminster,http://www.atlasgallery.com/#,1.00E+11,E09000033,Marylebone,E05013801,51.51899084,-0.153774859,528191.9672,181623.026,,,
Fashion Space Gallery,London College of Fashion,20 John Princes St,,Westminster,http://www.fashionspacegallery.com/#,1.00E+11,E09000033,West End,E05013808,51.51513066,-0.141693122,529041.0643,181214.9831,,,
Pi Artworks,55 Eastcastle Street,,,Westminster,http://www.piartworks.com/#,1.00E+11,E09000033,West End,E05013808,51.51590312,-0.13653005,529397.1024,181309.9899,,,
Pilar Corrias,54 Eastcastle Street,,,Westminster,http://www.pilarcorrias.com/#,1.00E+11,E09000033,West End,E05013808,51.5158955,-0.136616849,529391.1018,181308.9892,,,
Flowers Gallery Central,21 Cork Street,,,Westminster,http://www.flowersgallery.com/#,1.00E+11,E09000033,West End,E05013808,51.50962705,-0.13945254,529212.0887,180606.9246,,,
Erskine Hall & Coe,15 Royal Arcade,28 Old Bond St,,Westminster,http://www.erskinehallcoe.com/#,1.00E+11,E09000033,West End,E05013808,51.50856688,-0.140086644,529171.0852,180487.9141,,,
David Zwimer,24 Grafton Street,,,Westminster,http://www.davidzwirner.com/#,1.00E+11,E09000033,West End,E05013808,51.50896583,-0.141425169,529077.0745,180529.9185,,,
Colnaghi,15 Old Bond Street,,,Westminster,http://www.colnaghi.com/#,1.00E+11,E09000033,West End,E05013808,51.50854951,-0.138992012,529247.0935,180487.9133,,,
Gazelli Art House,39 Dover Street,,,Westminster,http://gazelliarthouse.com/#,1.00E+11,E09000033,West End,E05013808,51.50781388,-0.140809096,529123.0807,180402.906,,,
SprÃ¼th Magers,7 Grafton Street,,,Westminster,http://www.spruethmagers.com/#,1.00E+11,E09000033,West End,E05013808,51.50948124,-0.142168061,529024.0682,180585.9239,,,
D-Contemporary,23 Grafton Street,,,Westminster,http://dcontemporary.com/#,1.00E+11,E09000033,West End,E05013808,51.50902966,-0.141480221,529073.074,180536.9194,,,
Sadie Coles HQ Davies Street,1 Davies Street,,,Westminster,http://www.sadiecoles.com/#,1.00E+11,E09000033,West End,E05013808,51.50805762,-0.149965329,528487.0108,180413.911,,,
Hamiltons Gallery,13 Carlos Place,,,Westminster,http://www.hamiltonsgallery.com/#,1.00E+11,E09000033,West End,E05013808,51.51011892,-0.148368465,528592.0202,180645.9322,,,
Galeries Bartoux,104 New Bond Street,,,Westminster,http://www.galeries-bartoux.com/en/#,1.00E+11,E09000033,West End,E05013808,51.51303628,-0.144603469,528845.045,180976.9622,,,
Greenwich Printmakers Gallery,1a Greenwich Market,,,Greenwich,http://www.greenwich-printmakers.org.uk/#,1.00E+11,E09000011,Greenwich Park,E05014081,51.48085705,-0.007576419,538450.1618,177648.6705,,,
Crypt Museum,Byward Street,,,Tower Hamlets,http://www.allhallowsbythetower.org.uk/visit/crypt/,2.00E+11,E09000030,St Katharine's & Wapping,E05009330,51.50881823,-0.0775982,533506.5596,180627.9157,,,
Brocket Gallery,16 Windmill Row,,,Lambeth,http://www.brocketgallery.com/#,2.00E+11,E09000022,Kennington,E05014105,51.48650486,-0.110229078,531306.3293,178087.6717,,,
Victoria Miro Gallery I,16 Wharf Road,,,Hackney,http://www.victoria-miro.com/#,2.00E+11,E09000012,Hoxton West,E05009378,51.52981876,-0.093410366,532348.4576,182934.4789,,,
White Cube,144-152 Bermondsey Street,,,Southwark,http://whitecube.com/#,2.00E+11,E09000028,London Bridge & West Bermondsey,E05011104,51.49893711,-0.081068884,533294.5467,179522.8011,,,
Flat Time House,210 Bellenden Road,,,Southwark,http://flattimeho.org.uk/#,2.00E+11,E09000028,Rye Lane,E05011113,51.46558419,-0.072576615,533981.6163,175829.4582,,,
Arch Collective,Arch 12,Raymouth Road,,Southwark,http://www.archcollective.co.uk/#,2.00E+11,E09000028,North Bermondsey,E05011106,51.49160932,-0.057705715,534937.7329,178750.7384,,,
Jerwood Space Gallery,171 Union Street,,,Southwark,http://www.jerwoodspace.co.uk/#,2.00E+11,E09000028,Borough & Bankside,E05011095,51.50309902,-0.09749519,532142.4157,179955.847,,,
Contemporary Applied Arts,6 Paddington Street,W1U 5QG,,Westminster,http://www.caa.org.uk/#,1.00E+11,E09000033,Marylebone,E05013801,51.520921,-0.15255372,528271.2642,181839.8007,,,
Cardi Gallery London,22 Grafton Street,,,Westminster,https://cardigallery.com/,1.00E+11,E09000033,West End,E05013808,51.509603,-0.14314012,528956.2722,180597.7522,,,
Maureen Paley,60 Three Colts Lane,E2 6GQ,,Tower Hamlets,http://www.maureenpaley.com/#,See notes,E09000030,St Peter's,E05009331,51.52459,-0.05566,534982.2491,182422.013,,,
Arebyte,Java House,7 Botanic Square,,Tower Hamlets,http://www.arebyte.com/#,6703964,E09000030,Blackwall & Cubitt Town,E05009318,51.511286,0.005352869,539255.1113,181056.8371,,,
Modern Art,7 Bury Street,London,,Westminster,,1.00E+11,E09000033,St James's,E05013806,51.506691,-0.13811417,529313.2694,180282.7941,,,
Michael Hoppen Gallery,"Unit 10, Pall Mall Deposit",124-128 Barlby Road,,Kensington and Chelsea,http://www.michaelhoppengallery.com/#,217101233,E09000020,Dalgarno,E05009394,51.523233,-0.21889938,523662.3325,181982.7961,,,
London Mithraeum Bloomberg SPACE,12 Wallbrook,EC4N 8AA,,City of London,http://www.bloombergspace.com/#,2.00E+11,E09000001,Cordwainer,E05009300,51.51242,-0.090595407,532594.2106,181004.8129,,,
Parasol unit,32 Fitzroy Square,W1T 6EX,,Camden,http://www.parasol-unit.org/#,5087335,E09000007,Bloomsbury,E05013653,51.522404,-0.14057255,529098.2497,182025.7628,,,
Five Years,Unit 2B1,Boothby Road,,Islington,http://www.fiveyears.org.uk/#,5300030666,E09000019,Junction,E05013707,51.565714,-0.13163513,529595.2081,186857.6958,,,
Rocket Gallery,4-6 Sheep Lane,E8 4QS ,,Hackney,http://www.rocketgallery.com/#,10008322480,E09000012,London Fields,E05009381,51.535021,-0.060076278,534645.1319,183573.8386,,,
Unit G Gallery,Vittoria Wharf,10 Stour Road,,Tower Hamlets,http://unitg.london/gallery/#,See notes,E09000030,Bow East,E05009319,51.53968,-0.02122,537325.8561,184164.0545,,,
